Name,samAccountName,ParentOU
PC223-01,PC223-01,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-02,PC223-02,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-03,PC223-03,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-04,PC223-04,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-05,PC223-05,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-06,PC223-06,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-07,PC223-07,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-08,PC223-08,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-09,PC223-09,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-11,PC223-11,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-12,PC223-12,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-13,PC223-13,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-14,PC223-14,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-15,PC223-15,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-16,PC223-16,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-17,PC223-17,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-18,PC223-18,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-19,PC223-19,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-20,PC223-20,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-21,PC223-21,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-22,PC223-22,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-23,PC223-23,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-24,PC223-24,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-25,PC223-25,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-26,PC223-26,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-27,PC223-27,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-28,PC223-28,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-29,PC223-29,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
PC223-30,PC223-30,"OU=room223,OU=pecpSupportPCs,DC=cs,DC=pec"
